STT	type	tên gi?ng loài	tu?i th? trung bình	cân n?ng trung bình	chi?u cao trung bình	chi?u dài trung bình	cách ch?m	giá có gi?y t?	giá không gi?y t?	giá qu?c t?	score_energy	score_space	score_grooming	score_kid_friendly	score_size	size_index
77	Dog	komondor	10 n?m – 12 n?m	40 – 60 kg	65 – 80 cm	95 – 110 cm	"Komondor là gi?ng chó ch?n gia súc kh?ng l? ??n t? Hungary, n?i b?t v?i b? lông tr?ng dài xo?n thành t?ng dây nh? s?i th?ng – giúp chúng ng?y trang gi?a ?àn c?u và b?o v? hi?u qu? tr??c thú s?n m?i. Chúng có thân hình to l?n, c? b?p m?nh m?, tính cách ??c l?p, trung thành và can ??m. Komondor th??ng ???c g?i là “v? s? khoác áo len” nh? kh? n?ng b?o v? b?m sinh.  
  
Tính cách:  
Komondor d?ng c?m, ?i?m t?nh, trung thành và b?o v? r?t t?t. Chúng yêu th??ng gia ?ình nh?ng th??ng dè ch?ng v?i ng??i l?. Vì có b?n n?ng b?o v? m?nh m?, chúng c?n xã h?i hóa t? nh? ?? cân b?ng tính cách, tránh quá c?nh giác ho?c hung h?ng.  
  
V?n ??ng:  
Dù to l?n, Komondor c?n v?n ??ng h?ng ngày ?? duy trì s?c kh?e và s? linh ho?t: ?i b? dài, ch?y nh?y trong sân r?ng, các trò ch?i v?n ??ng nh?. Không c?n quá n?ng ??ng nh? các gi?ng chó ch?n khác, nh?ng v?n c?n ho?t ??ng ??u ??n ?? tránh béo phì và c?ng kh?p.  
  
Hu?n luy?n:  
Komondor thông minh nh?ng có tính ??c l?p cao, nên hu?n luy?n c?n kiên nh?n, nh?t quán và b?t ??u t? s?m. Ch? nuôi ph?i th? hi?n s? lãnh ??o rõ ràng, n?u không chó có th? tr? nên b??ng b?nh, khó ki?m soát. ?ây là gi?ng chó không phù h?p cho ng??i m?i nuôi.  
  
Ch?m sóc lông:  
?i?m ??c bi?t nh?t c?a Komondor là b? lông xo?n thành dây th?ng dày và n?ng. B? lông này không c?n ch?i, nh?ng c?n ???c chia, tách lông th??ng xuyên ?? tránh dính b?t ho?c ?m m?c. T?m r?a m?t nhi?u th?i gian vì lông dày lâu khô (có th? m?t vài ngày). V? sinh tai, r?ng và c?t móng ??nh k? c?ng quan tr?ng ?? phòng b?nh.  
  
Ch? ?? dinh d??ng:  
Do kích th??c l?n, Komondor c?n ch? ?? ?n giàu protein ch?t l??ng cao (th?t n?c, cá, tr?ng) ?? duy trì c? b?p, k?t h?p tinh b?t nguyên h?t và rau c? qu?. Nên chia b?a h?p lý, tránh cho ?n quá nhi?u trong m?t l?n ?? gi?m nguy c? xo?n d? dày – b?nh th??ng g?p ? chó ng?c sâu.  
  
S?c kh?e:  
Komondor th??ng kh?e m?nh, nh?ng có th? g?p m?t s? b?nh nh?: lo?n s?n hông, lo?n s?n khu?u, xo?n d? dày, b?nh da do lông dày ?m. Khám thú y ??nh k?, ch? ?? v?n ??ng h?p lý và ch?m sóc lông ?úng cách là chìa khóa ?? gi? Komondor kh?e m?nh."	45 – 75 tri?u VN?	25 – 40 tri?u VN?	3000 – 6000 USD	4	4	3	4	large	1.93500908
78	Dog	old_english_sheepdog	10 n?m – 12 n?m	30 – 45 kg	56 – 61 cm	85 – 100 cm	"Old English Sheepdog (OES) là gi?ng chó ch?n c?u có ngu?n g?c t? Anh, n?i ti?ng v?i b? lông dài xù, dày và b?ng b?nh nh? “bông gòn”. Chúng th??ng ???c nh?n di?n qua dáng ?i l?c l? ??c tr?ng và tính cách hi?n lành, thân thi?n.  
  
Tính cách:  
OES thông minh, vui v?, hòa ??ng và c?c k? g?n bó v?i gia ?ình. Chúng hi?n lành v?i tr? em, thân thi?n v?i các loài v?t khác và th??ng ???c g?i là “chú h? d?u dàng” vì tính cách vui nh?n. Tuy nhiên, ?ôi khi có th? h?i b??ng b?nh, c?n hu?n luy?n kiên nh?n.  
  
V?n ??ng:  
OES có ngu?n g?c là chó lao ??ng, nên c?n v?n ??ng h?ng ngày: ?i d?o dài, ch?i ném bóng, ch?y t? do trong sân v??n. N?u không v?n ??ng ??, chúng d? t?ng cân và tr? nên l??i bi?ng.  
  
Hu?n luy?n:  
Thông minh và nhanh nh?y, nh?ng ?ôi lúc b??ng b?nh. C?n hu?n luy?n t? nh? b?ng ph??ng pháp tích c?c, khuy?n khích b?ng th?c ?n và l?i khen. Ngoài ra, nên cho xã h?i hóa s?m ?? tránh quá c?nh giác v?i ng??i l?.  
  
Ch?m sóc lông:  
?i?m ??c tr?ng c?a OES là b? lông dài, dày, d? r?i. C?n ch?i ít nh?t 2–3 l?n/tu?n, n?u không s? b? r?i và dính b?n. Khi ??n mùa thay lông, vi?c ch?m sóc càng m?t th?i gian h?n. Nhi?u ch? ch?n c?t lông ng?n (ki?u “puppy cut”) ?? d? ch?m sóc h?n. T?m r?a ??nh k?, v? sinh tai và r?ng c?ng r?t quan tr?ng.  
  
Ch? ?? dinh d??ng:  
C?n kh?u ph?n giàu protein ch?t l??ng cao (th?t, cá, tr?ng) ?? duy trì c? b?p và n?ng l??ng. B? sung rau c? qu? ?? h? tr? tiêu hóa. Do gi?ng này d? béo phì, c?n ki?m soát kh?u ph?n, tránh ?n quá nhi?u tinh b?t.  
  
S?c kh?e:  
M?t s? v?n ?? s?c kh?e th??ng g?p: lo?n s?n hông, lo?n s?n khu?u, b?nh m?t (??c th?y tinh th?, teo võng m?c), béo phì. Khám thú y ??nh k?, ch? ?? ?n h?p lý và v?n ??ng ??y ?? giúp duy trì tu?i th?."	35 – 55 tri?u VN?	18 – 30 tri?u VN?	2000 – 4000 USD	3	3	4	4	large	1.548932245
79	Dog	shetland_sheepdog	12 n?m – 14 n?m	6 – 12 kg	33 – 41 cm	45 – 55 cm	"Shetland Sheepdog, th??ng g?i là Sheltie, có ngu?n g?c t? qu?n ??o Shetland (Scotland). Chúng là gi?ng chó ch?n c?u kích th??c trung bình – nh?, ngo?i hình gi?ng Collie thu nh?, v?i b? lông dài m??t mà và tính cách thông minh, thân thi?n.  
  
Tính cách:  
Sheltie r?t thông minh, trung thành và tình c?m, n?i ti?ng là m?t trong nh?ng gi?ng chó d? hu?n luy?n nh?t th? gi?i (top ??u trong b?ng x?p h?ng trí thông minh c?a Stanley Coren). Chúng yêu th??ng ch?, s?ng tình c?m, th??ng bám sát gia ?ình. Tuy nhiên, có xu h??ng c?nh giác và s?a khi th?y ng??i l?, nên c?ng có kh? n?ng canh gác.  
  
V?n ??ng:  
Sheltie tuy nh? nh?ng là gi?ng chó làm vi?c, nên c?n v?n ??ng h?ng ngày: ?i b? dài, ch?i trò ném bóng, hu?n luy?n agility ho?c obedience. N?u không v?n ??ng ??, chúng d? stress và hay s?a nhi?u.  
  
Hu?n luy?n:  
Vô cùng thông minh, h?c nhanh, thích làm hài lòng ch?. Hu?n luy?n Sheltie t??ng ??i d?, nh?ng c?n kiên nh?n và dùng ph??ng pháp tích c?c. Xã h?i hóa s?m ?? gi?m b?t s? nhút nhát ho?c c?nh giác quá m?c.  
  
Ch?m sóc lông:  
B? lông dài, dày 2 l?p (lông ph? ngoài dài và th?ng, lông lót m?m và dày) c?n ch?i 2–3 l?n/tu?n ?? tránh r?i và r?ng nhi?u. Vào mùa thay lông, vi?c ch?m sóc c?n k? h?n. T?m r?a, v? sinh tai – r?ng – móng ??nh k? ?? gi? s?c kh?e t?ng th?.  
  
Ch? ?? dinh d??ng:  
Kh?u ph?n ?n giàu protein n?c (th?t gà, cá, bò), b? sung rau c? qu? và tinh b?t nguyên h?t. C?n ki?m soát kh?u ph?n ?? tránh th?a cân, vì Sheltie d? b? béo phì n?u ít v?n ??ng.  
  
S?c kh?e:  
M?t s? b?nh th??ng g?p: b?nh m?t di truy?n (Collie Eye Anomaly – CEA), lo?n s?n x??ng hông, b?nh tuy?n giáp, ??ng kinh nh?. Khám thú y ??nh k?, duy trì cân n?ng h?p lý s? giúp Sheltie kh?e m?nh và s?ng th?."	30 – 50 tri?u VN?	15 – 25 tri?u VN?	2000 – 3500 USD	3	3	4	4	small	0.649394507
80	Dog	collie	12 n?m – 14 n?m	18 – 34 kg	51 – 66 cm	80 – 95 cm	"Collie, ??c bi?t là Rough Collie, n?i ti?ng toàn c?u nh? b? phim và ti?u thuy?t “Lassie”. ?ây là gi?ng chó ch?n c?u có ngu?n g?c t? Scotland, v?i ngo?i hình thanh l?ch, b? lông dài m??t và g??ng m?t hi?n h?u.  
  
Tính cách:  
Collie c?c k? thông minh, trung thành, d?u dàng và tình c?m, r?t h?p v?i tr? nh?, th??ng ???c g?i là “ng??i b?o m?u” trung thành. Chúng hòa ??ng v?i gia ?ình, hi?n lành v?i thú nuôi khác, nh?ng v?n có b?n n?ng b?o v? nh? nhàng.  
  
V?n ??ng:  
Collie c?n v?n ??ng v?a ph?i m?i ngày: ?i b? dài, ch?i ?ùa, ho?c ch?y t? do trong sân v??n. Không ?òi h?i n?ng l??ng cao nh? Border Collie, nh?ng n?u b? nh?t lâu s? d? bu?n chán.  
  
Hu?n luy?n:  
Rough Collie h?c nhanh, d? hu?n luy?n và r?t thích làm hài lòng ch?. N?i ti?ng là gi?ng chó thông minh, chúng th??ng thành công trong các bài thi obedience, agility. Tuy nhiên, ?ôi khi có th? h?i nh?y c?m, nên hu?n luy?n b?ng ph??ng pháp nh? nhàng, tích c?c.  
  
Ch?m sóc lông:  
B? lông 2 l?p (ngoài dài m??t, trong dày và ?m) c?n ch?i 2–3 l?n/tu?n ?? tránh r?i và gi? s?ch s?. Vào mùa thay lông, vi?c ch?i c?n k? h?n. C?n v? sinh tai, r?ng, móng ??nh k?. V?i khí h?u nóng ?m (nh? ? Vi?t Nam), c?n c?t t?a lông g?n gàng và ?? chó ? n?i mát m?.  
  
Ch? ?? dinh d??ng:  
Kh?u ph?n ?n giàu protein và ch?t béo t?t t? th?t, cá, tr?ng, k?t h?p rau c? và tinh b?t nguyên h?t. Chia thành 2–3 b?a/ngày. Tránh ?? ?n nhi?u d?u m? ho?c th?c ?n th?a c?a ng??i.  
  
S?c kh?e:  
Collie nhìn chung kh?e m?nh, nh?ng có th? g?p m?t s? b?nh di truy?n:  
  
Collie Eye Anomaly (CEA – d? t?t m?t b?m sinh)  
  
Lo?n s?n hông  
  
??ng kinh nh?  
  
Nh?y c?m v?i m?t s? lo?i thu?c (MDR1 mutation)  
Khám thú y ??nh k? và duy trì ch? ?? ?n, v?n ??ng h?p lý s? giúp Collie s?ng th?, kh?e m?nh."	35 – 60 tri?u VN?	18 – 30 tri?u VN?	2500 – 4500 USD	4	3	4	2	large	1.298266388
81	Dog	border_collie	12 n?m – 15 n?m	14 – 22 kg	46 – 56 cm	65 – 75 cm	"Border Collie có ngu?n g?c t? vùng biên gi?i gi?a Scotland và Anh, ???c xem là gi?ng chó thông minh nh?t th? gi?i. ?ây là loài chó ch?n c?u n?i ti?ng nh? kh? n?ng làm vi?c không m?t m?i, ph?n ?ng nhanh nh?y và trí tu? v??t tr?i.  
  
Tính cách:  
Border Collie c?c k? thông minh, trung thành, n?ng ??ng và ham h?c h?i. Chúng g?n bó ch?t ch? v?i ch?, th??ng mu?n làm vi?c ho?c tham gia ho?t ??ng liên t?c. Tuy nhiên, chúng không quá phù h?p v?i gia ?ình b?n r?n ho?c ít v?n ??ng, vì d? chán n?n và xu?t hi?n hành vi phá phách.  
  
V?n ??ng:  
?ây là gi?ng chó n?ng l??ng c?c cao, c?n ít nh?t 2–3 gi? v?n ??ng m?i ngày: ch?y b?, ?i d?o dài, ch?i ném bóng, frisbee, b?i l?i ho?c các môn th? thao cho chó (agility, flyball, obedience). N?u không ?áp ?ng ???c nhu c?u v?n ??ng và tinh th?n, Border Collie s? stress và có th? tr? nên t?ng ??ng.  
  
Hu?n luy?n:  
V?i trí thông minh b?c nh?t, Border Collie h?c c?c nhanh, có th? n?m b?t hàng tr?m l?nh và nhi?m v? ph?c t?p. ?ây là lý do chúng th??ng xu?t hi?n trong các cu?c thi tài n?ng, ch?n c?u và th? thao chó. Hu?n luy?n c?n ?a d?ng, sáng t?o ?? tránh nhàm chán, và luôn s? d?ng ph??ng pháp tích c?c.  
  
Ch?m sóc lông:  
B? lông có 2 d?ng: lông ng?n (smooth coat) và lông dài (rough coat). Dù lo?i nào c?ng c?n ch?i 2–3 l?n/tu?n ?? lo?i b? lông r?ng, gi? s?ch s?. T?m r?a ??nh k?, v? sinh tai – r?ng – móng c?ng r?t c?n thi?t.  
  
Ch? ?? dinh d??ng:  
Do Border Collie ho?t ??ng nhi?u, kh?u ph?n ?n c?n giàu protein ch?t l??ng cao (th?t n?c, cá, tr?ng), b? sung tinh b?t nguyên h?t và rau c? ?? duy trì n?ng l??ng. Chia b?a h?p lý, tránh cho ?n quá nhi?u ch?t béo gây t?ng cân.  
  
S?c kh?e:  
M?t s? v?n ?? s?c kh?e th??ng g?p ? Border Collie:  
  
Lo?n s?n hông và khu?u  
  
B?nh ??ng kinh  
  
B?nh m?t di truy?n (Collie Eye Anomaly – CEA, Progressive Retinal Atrophy – PRA)  
  
Nh?y c?m v?i thu?c (MDR1 mutation)  
Chúng nhìn chung kh?e m?nh n?u ???c v?n ??ng và ch?m sóc ?úng cách."	25 – 45 tri?u VN?	12 – 20 tri?u VN?	2000 – 4000 USD	5	3	4	3	medium	1.01098146
82	Dog	bouvier_des_flandres	10 n?m – 12 n?m	27 – 40 kg	59 – 68 cm	85 – 100 cm	"Bouvier des Flandres có ngu?n g?c t? vùng Flandres (B? và Pháp), ban ??u ???c lai t?o ?? ch?n gia súc, kéo xe và làm vi?c n?ng. ?ây là gi?ng chó c? l?n, c? b?p v?m v?, b? lông dày, xù và khuôn m?t có râu ria ??c tr?ng, t?o v? ngoài m?nh m? nh?ng c?ng r?t ?i?m ??m.  
  
Tính cách:  
Bouvier des Flandres ?i?m t?nh, thông minh, d?ng c?m và trung thành tuy?t ??i. Chúng g?n bó v?i gia ?ình, b?o v? ch? nh?ng không quá hung h?ng. Tuy nhiên, gi?ng chó này có tính c?nh giác cao, th??ng ???c s? d?ng làm chó b?o v?, chó quân s? ho?c c?nh sát.  
  
V?n ??ng:  
Là gi?ng chó lao ??ng, Bouvier c?n v?n ??ng h?ng ngày t? 1–2 gi?: ?i b? dài, ch?y, ch?i các trò v?n ??ng m?nh ho?c tham gia hu?n luy?n chuyên nghi?p. N?u không v?n ??ng ??, chúng d? tr? nên b?n ch?n và khó ki?m soát.  
  
Hu?n luy?n:  
Thông minh và có kh? n?ng h?c h?i t?t, nh?ng ?ôi khi h?i b??ng b?nh. C?n hu?n luy?n t? nh?, kiên nh?n và nh?t quán. Gi?ng này r?t phù h?p cho các môn th? thao chó (obedience, tracking, protection). Xã h?i hóa s?m giúp chúng cân b?ng h?n khi ti?p xúc v?i ng??i l? ho?c thú c?ng khác.  
  
Ch?m sóc lông:  
B? lông dày, xù và ráp c?n ch?i ít nh?t 2–3 l?n/tu?n ?? tránh r?i và gi? s?ch. Th?nh tho?ng c?n c?t t?a ?? duy trì hình dáng g?n gàng, ??c bi?t vùng quanh m?t và m?t. V? sinh tai, r?ng và móng ??nh k? c?ng r?t quan tr?ng.  
  
Ch? ?? dinh d??ng:  
Kh?u ph?n ?n c?n nhi?u protein ch?t l??ng cao (th?t bò, gà, cá), k?t h?p tinh b?t nguyên h?t và rau c? qu?. Do là chó c? b?p, n?ng l??ng cao, c?n l??ng th?c ?n l?n nh?ng ph?i cân ??i ?? tránh béo phì và v?n ?? v? kh?p.  
  
S?c kh?e:  
M?t s? b?nh th??ng g?p:  
  
Lo?n s?n hông và khu?u  
  
Ch?ng ??y h?i xo?n d? dày (Bloat)  
  
B?nh v? m?t (glaucoma, cataract)  
  
M?t s? b?nh v? tim  
Khám thú y ??nh k?, ki?m soát cân n?ng và ch? ?? v?n ??ng s? giúp Bouvier s?ng kh?e m?nh."	40 – 70 tri?u VN?	20 – 35 tri?u VN?	2500 – 5000 USD	4	3	3	4	large	1.502809207
83	Dog	rottweiler	9 n?m – 11 n?m	35 – 60 kg	56 – 69 cm	85 – 100 cm	"Rottweiler có ngu?n g?c t? ??c, ban ??u ???c s? d?ng ?? kéo xe hàng và ch?n d?t gia súc. ?ây là gi?ng chó c? b?p, m?nh m?, thông minh và có b?n n?ng b?o v? cao, th??ng ???c dùng làm chó nghi?p v?, c?nh sát ho?c b?o v?.  
  
Tính cách:  
Rottweiler trung thành, d?ng c?m, t? tin và b?o v? ch? nhân m?nh m?. Chúng yêu th??ng gia ?ình, ??c bi?t g?n bó v?i m?t ng??i ch? duy nh?t. Tuy nhiên, n?u không ???c xã h?i hóa và hu?n luy?n t? nh?, Rott có th? tr? nên quá c?nh giác ho?c hung h?ng v?i ng??i l?.  
  
V?n ??ng:  
Là gi?ng chó n?ng l??ng cao, Rottweiler c?n 1–2 gi? v?n ??ng m?i ngày: ch?y, ?i b? dài, kéo t?, ho?c tham gia hu?n luy?n b?o v?. N?u b? nh?t ho?c ít v?n ??ng, chúng d? b? stress và sinh ra hành vi phá phách.  
  
Hu?n luy?n:  
Thông minh, nhanh nh?n nh?ng ?ôi khi b??ng b?nh. C?n ng??i ch? kiên ??nh, có kinh nghi?m và uy tín ?? hu?n luy?n. Ph??ng pháp hu?n luy?n nên tích c?c, nh?t quán, k?t h?p xã h?i hóa s?m ?? giúp Rott tr? nên cân b?ng, ki?m soát t?t b?n n?ng b?o v?.  
  
Ch?m sóc lông:  
Rott có b? lông ng?n, dày và bóng, d? ch?m sóc. Ch? c?n ch?i 1 l?n/tu?n ?? lo?i b? lông r?ng, t?m r?a khi c?n. V? sinh tai, r?ng và móng ??u ??n ?? gi? s?c kh?e t?ng th?.  
  
Ch? ?? dinh d??ng:  
Do là gi?ng chó c? b?p l?n, c?n kh?u ph?n ?n giàu protein và ch?t béo t?t t? th?t ??, cá, tr?ng. B? sung rau c? và tinh b?t nguyên h?t ?? cân b?ng dinh d??ng. Nên chia b?a ?n thành 2–3 l?n/ngày ?? tránh ch?ng ??y h?i xo?n d? dày (bloat).  
  
S?c kh?e:  
M?t s? b?nh th??ng g?p ? Rottweiler:  
  
Lo?n s?n hông và khu?u  
  
Ch?ng ??y h?i xo?n d? dày  
  
V?n ?? v? tim (aortic stenosis, cardiomyopathy)  
  
Ung th? x??ng (osteosarcoma)  
  
Béo phì n?u ít v?n ??ng  
Khám thú y ??nh k?, duy trì cân n?ng và t?p luy?n h?p lý s? giúp Rott kh?e m?nh và s?ng th?."	35 – 70 tri?u VN?	15 – 30 tri?u VN?	2500 – 6000 USD	4	3	1	4	large	1.773952497
84	Dog	german_shepherd	9 n?m – 13 n?m	22 – 40 kg	55 – 65 cm	85 – 100 cm	"German Shepherd là gi?ng chó ch?n c?u n?i ti?ng th? gi?i, ???c phát tri?n t?i ??c cu?i th? k? 19 b?i Max von Stephanitz. Ngày nay, chúng là m?t trong nh?ng gi?ng chó ?a n?ng nh?t: ch?n gia súc, b?o v?, c?nh sát, quân s?, c?u h?, d?n ???ng.  
  
Tính cách:  
German Shepherd thông minh, d?ng c?m, trung thành và vâng l?i, luôn s?n sàng b?o v? gia ?ình. Chúng có b?n n?ng canh gác m?nh m?, nh?ng ??ng th?i c?ng r?t tình c?m, g?n bó và bi?t quan tâm.  
  
V?n ??ng:  
?ây là gi?ng chó n?ng l??ng cao, c?n ít nh?t 1,5 – 2 gi? v?n ??ng m?i ngày: ch?y, ?i b? dài, hu?n luy?n agility, obedience, tìm ki?m, kéo t? ho?c các trò ch?i trí tu?. N?u không v?n ??ng ??, chúng d? stress, bu?n chán và phát sinh hành vi phá phách.  
  
Hu?n luy?n:  
German Shepherd là m?t trong nh?ng gi?ng chó d? hu?n luy?n nh?t, th??ng ??ng top ??u v? trí thông minh làm vi?c (theo b?ng x?p h?ng Stanley Coren). Chúng h?c l?nh nhanh, thích h?p cho nhi?u công vi?c khác nhau. Tuy nhiên, c?n hu?n luy?n nh?t quán, kiên ??nh và xã h?i hóa s?m ?? tránh quá c?nh giác v?i ng??i l?.  
  
Ch?m sóc lông:  
Có 2 lo?i: lông ng?n (short coat) và lông dài (long coat). C? hai ??u có lông kép (double coat): l?p ngoài th?ng, c?ng, l?p trong dày và ?m. C?n ch?i 2–3 l?n/tu?n, mùa r?ng lông c?n ch?m sóc nhi?u h?n. V? sinh tai, r?ng và móng th??ng xuyên.  
  
Ch? ?? dinh d??ng:  
Do là gi?ng chó c? b?p và ho?t ??ng nhi?u, kh?u ph?n ?n c?n giàu protein và ch?t béo ch?t l??ng cao (th?t bò, gà, cá, tr?ng). B? sung rau c?, ng? c?c nguyên h?t ?? h? tr? tiêu hóa. Chia 2–3 b?a/ngày ?? gi?m nguy c? ??y h?i xo?n d? dày (bloat).  
  
S?c kh?e:  
M?t s? b?nh th??ng g?p:  
  
Lo?n s?n hông và khu?u (hip & elbow dysplasia)  
  
Ch?ng ??y h?i xo?n d? dày (bloat)  
  
Thoái hóa t?y s?ng (Degenerative Myelopathy)  
  
D? ?ng da, b?nh v? m?t  
Khám thú y ??nh k?, v?n ??ng h?p lý và ch? ?? ?n cân ??i s? giúp GSD kh?e m?nh, s?ng th?."	30 – 60 tri?u VN?	12 – 25 tri?u VN?	2500 – 6000 USD	4	3	4	4	large	1.429931014
85	Dog	doberman	10 n?m – 13 n?m	30 – 45 kg	63 – 72 cm	85 – 100 cm	"Doberman là gi?ng chó canh gác và b?o v? n?i ti?ng, ???c phát tri?n cu?i th? k? 19 t?i ??c b?i Karl Friedrich Louis Dobermann – m?t ng??i thu thu? c?n m?t gi?ng chó b?o v? m?nh m?, nhanh nh?n và trung thành.  
  
Tính cách:  
Doberman n?i ti?ng v?i hình ?nh “chó v? s?” – trung thành, d?ng c?m, c?nh giác và b?o v? ch? tuy?t ??i. Tuy nhiên, chúng c?ng r?t tình c?m, g?n bó và bi?t quan tâm, ??c bi?t khi s?ng cùng gia ?ình. N?u ???c xã h?i hóa t?t t? nh?, chúng có th? thân thi?n, d?u dàng v?i tr? em và các v?t nuôi khác.  
  
V?n ??ng:  
?ây là gi?ng chó n?ng l??ng cao, nhanh nh?n, m?nh m?, c?n ít nh?t 1,5 – 2 gi? v?n ??ng/ngày. Chúng thích ch?y ???ng dài, t?p agility, obedience, canicross, IPO/IGP (bài t?p b?o v? – ph?c tùng), và các ho?t ??ng trí tu?. N?u không v?n ??ng ??, Doberman d? sinh ra c?ng th?ng, phá phách.  
  
Hu?n luy?n:  
Doberman c?c k? thông minh (x?p th? 5 trong b?ng trí tu? Stanley Coren). Chúng h?c l?nh nhanh, vâng l?i và có kh? n?ng t?p trung cao. Tuy nhiên, c?n ng??i ch? kiên ??nh, nh?t quán và có kinh nghi?m ?? tránh Doberman tr? nên b??ng b?nh ho?c hung h?ng. Xã h?i hóa t? nh? là b?t bu?c ?? hình thành tính cách cân b?ng.  
  
Ch?m sóc lông:  
Doberman có b? lông ng?n, m??t, ôm sát c? th?, ít r?ng lông, d? ch?m sóc. Ch? c?n ch?i 1 l?n/tu?n, t?m 1–2 tháng/l?n ho?c khi b?n. Tuy nhiên, do lông ng?n và da m?ng, chúng nh?y c?m v?i l?nh, nên c?n gi? ?m vào mùa ?ông.  
  
Ch? ?? dinh d??ng:  
C?n kh?u ph?n giàu protein ch?t l??ng cao (th?t bò, gà, cá, tr?ng) ?? duy trì c? b?p và n?ng l??ng. B? sung rau c?, tinh b?t và omega-3 (t?t cho tim m?ch, da lông). Chia 2 b?a/ngày ?? gi?m nguy c? xo?n d? dày (bloat).  
  
S?c kh?e:  
Doberman nhìn chung kh?e m?nh, nh?ng d? g?p m?t s? b?nh di truy?n:  
  
B?nh c? tim giãn (Dilated Cardiomyopathy – DCM)  
  
Lo?n s?n hông  
  
H?i ch?ng Wobbler (b?nh t?y s?ng c?)  
  
R?i lo?n ?ông máu (Von Willebrand Disease)  
  
Xo?n d? dày (bloat)  
Khám thú y ??nh k? và ch? ?? ?n, v?n ??ng khoa h?c s? giúp Doberman duy trì s?c kh?e t?t."	25 – 50 tri?u VN?	8 – 20 tri?u VN?	2500 – 6000 USD	4	3	1	4	large	1.608775512
86	Dog	miniature_pinscher	12 n?m – 16 n?m	4 – 6 kg	25 – 30 cm	30 – 35 cm	"Miniature Pinscher (th??ng g?i t?t là Min Pin) có ngu?n g?c t? ??c, ???c lai t?o t? Dachshund, Italian Greyhound và German Pinscher. Dù có ngo?i hình gi?ng Doberman thu nh?, nh?ng Min Pin ra ??i tr??c Doberman nhi?u th? k?.  
  
Tính cách:  
Gi?ng chó này ???c m?nh danh là “King of Toys” (Vua c?a nhóm chó c?nh nh?) nh? s? t? tin, gan d?, tràn ??y n?ng l??ng. Chúng lanh l?i, c?nh giác cao, thích b?o v? lãnh th? và s?a khi có ng??i l?. Tuy nhiên, v?i gia ?ình, chúng tình c?m, vui v? và r?t g?n bó.  
  
V?n ??ng:  
Dù thân hình nh? (cao 25–30 cm, n?ng 4–6 kg), Min Pin l?i có n?ng l??ng c?c cao. C?n ít nh?t 30 – 60 phút v?n ??ng/ngày, bao g?m ?i d?o nhanh, ch?i ném bóng, ch?y nh?y trong sân. N?u không ???c gi?i phóng n?ng l??ng, chúng d? c?n phá ?? ??c.  
  
Hu?n luy?n:  
Miniature Pinscher thông minh nh?ng khá b??ng b?nh, thích làm theo ý mình. C?n s? kiên nh?n, nh?t quán và ph??ng pháp hu?n luy?n tích c?c. Xã h?i hóa t? nh? giúp h?n ch? tính hung h?ng ho?c hay s?a.  
  
Ch?m sóc lông:  
Min Pin có lông ng?n, m??t, ít r?ng và d? ch?m sóc. Ch? c?n ch?i 1 l?n/tu?n và t?m 1–2 tháng/l?n. Chúng thích h?p nuôi trong c?n h?, nh?ng do lông ng?n và thân nh?, d? b? l?nh ? nên m?c áo gi? ?m khi tr?i l?nh.  
  
Ch? ?? dinh d??ng:  
C?n kh?u ph?n ?n cân ??i, giàu protein và ít ch?t béo. Vì gi?ng chó nh? d? béo phì, nên tránh cho ?n quá nhi?u ?? ?n v?t. Chia 2–3 b?a nh? trong ngày s? t?t h?n 1 b?a l?n.  
  
S?c kh?e:  
Nhìn chung kh?e m?nh, nh?ng có th? g?p m?t s? v?n ??:  
  
Tr?t x??ng bánh chè (Patellar Luxation)  
  
V?n ?? r?ng mi?ng (cao r?ng, viêm l?i)  
  
Lo?n s?n võng m?c ho?c ??c th?y tinh th?  
  
H? ???ng huy?t ? chó con n?u ?n u?ng không ??u"	15 – 30 tri?u VN?	5 – 12 tri?u VN?	1000 – 2500 USD	4	4	1	4	small	0.428180373
